Month,Count
Jan-60,6550
Feb-60,8728
Mar-60,12026
Apr-60,14395
May-60,14587
Jun-60,13791
Jul-60,9498
Aug-60,8251
Sep-60,7049
Oct-60,9545
Nov-60,9364
Dec-60,8456
Jan-61,7237
Feb-61,9374
Mar-61,11837
Apr-61,13784
May-61,15926
Jun-61,13821
Jul-61,11143
Aug-61,7975
Sep-61,7610
Oct-61,10015
Nov-61,12759
Dec-61,8816
Jan-62,10677
Feb-62,10947
Mar-62,15200
Apr-62,17010
May-62,20900
Jun-62,16205
Jul-62,12143
Aug-62,8997
Sep-62,5568
Oct-62,11474
Nov-62,12256
Dec-62,10583
Jan-63,10862
Feb-63,10965
Mar-63,14405
Apr-63,20379
May-63,20128
Jun-63,17816
Jul-63,12268
Aug-63,8642
Sep-63,7962
Oct-63,13932
Nov-63,15936
Dec-63,12628
Jan-64,12267
Feb-64,12470
Mar-64,18944
Apr-64,21259
May-64,22015
Jun-64,18581
Jul-64,15175
Aug-64,10306
Sep-64,10792
Oct-64,14752
Nov-64,13754
Dec-64,11738
Jan-65,12181
Feb-65,12965
Mar-65,19990
Apr-65,23125
May-65,23541
Jun-65,21247
Jul-65,15189
Aug-65,14767
Sep-65,10895
Oct-65,17130
Nov-65,17697
Dec-65,16611
Jan-66,12674
Feb-66,12760
Mar-66,20249
Apr-66,22135
May-66,20677
Jun-66,19933
Jul-66,15388
Aug-66,15113
Sep-66,13401
Oct-66,16135
Nov-66,17562
Dec-66,14720
Jan-67,12225
Feb-67,11608
Mar-67,20985
Apr-67,19692
May-67,24081
Jun-67,22114
Jul-67,14220
Aug-67,13434
Sep-67,13598
Oct-67,17187
Nov-67,16119
Dec-67,13713
Jan-68,13210
Feb-68,14251
Mar-68,20139
Apr-68,21725
May-68,26099
Jun-68,21084
Jul-68,18024
Aug-68,16722
Sep-68,14385
Oct-68,21342
Nov-68,17180
Dec-68,14577
,
Monthly car sales in Quebec 1960-1968,
